audio_path,reference,wer,whisper_hypothesis,whisper_sum_logprob
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,The overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read.,0.04,"The overwhelming majority of people in this country, know how to sift the wheat from the chaff in what they hear and what they read.",-9.788665771484375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,The overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read.,0.08,"the overwhelming majority of people in this country, know how to sift the wheat from the chaff in what they hear and what they read.",-9.935160636901855
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the Commissioners to inquire into the state of the municipal corporations in eighteen thirty-five.,0.23809523809523808,as is shown by the report of the commissioners to inquire into the state of the Municipal Corporations in 1835.,-8.202669143676758
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the Commissioners to inquire into the state of the municipal corporations in eighteen thirty-five.,0.2857142857142857,as is shown by the report of the commissioners to inquire into the State of the Municipal Corporations in 1835.,-8.314933776855469
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the Commissioners to inquire into the state of the municipal corporations in eighteen thirty-five.,0.19047619047619047,as is shown by the report of the commissioners to enquire into the state of the municipal corporations in 1835.,-8.47924518585205
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,Even the Caslon type when enlarged shows great shortcomings in this respect:,0.3333333333333333,"Even the Caslung type, when enlarged, shows great shortcomings in this respect.",-8.020455360412598
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,Even the Caslon type when enlarged shows great shortcomings in this respect:,0.3333333333333333,"Even the castle-en-type, when enlarged, shows great shortcomings in this respect.",-10.597158432006836
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,Even the Caslon type when enlarged shows great shortcomings in this respect:,0.4166666666666667,"Even the Caslung type, when in large, shows great shortcomings in this respect.",-10.601022720336914
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,Even the Caslon type when enlarged shows great shortcomings in this respect:,0.3333333333333333,"Even the Cas-Lung type, when enlarged, shows great shortcomings in this respect.",-10.815555572509766
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,Even the Caslon type when enlarged shows great shortcomings in this respect:,0.3333333333333333,"Even the castle-in-type, when enlarged, shows great shortcomings in this respect.",-10.94192123413086
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,Even the Caslon type when enlarged shows great shortcomings in this respect:,0.4166666666666667,"Even the Caslung Type, when in large, shows great shortcomings in this respect.",-11.013690948486328
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,Even the Caslon type when enlarged shows great shortcomings in this respect:,0.25,"Even the Caslon type, when enlarged, shows great shortcomings in this respect.",-11.222728729248047
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,All the committee could do in this respect was to throw the responsibility on others.,0.13333333333333333,"all the committee could do in this respect, was to throw the responsibility on others.",-6.605954170227051
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,All the committee could do in this respect was to throw the responsibility on others.,0.06666666666666667,all the committee could do in this respect was to throw the responsibility on others.,-7.964860439300537
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,All the committee could do in this respect was to throw the responsibility on others.,0.13333333333333333,"All the committee could do, in this respect, was to throw the responsibility on others.",-8.262130737304688
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,All the committee could do in this respect was to throw the responsibility on others.,0.2,"all the committee could do, in this respect, was to throw the responsibility on others.",-8.717814445495605
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,All the committee could do in this respect was to throw the responsibility on others.,0.0,All the committee could do in this respect was to throw the responsibility on others.,-9.09693431854248
