audio_path,reference,wer,wspr_hyp,wspr_prob,gtts_ll,gtts_prior,gtts_delta
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.0,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,-13.360889434814451,8128.765625,-85885.359375,94014.125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.04,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read thank,-13.660548210144045,8097.203125,-85881.75,93978.953125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.04,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read the,-13.861242294311523,7721.03125,-85885.9453125,93606.9765625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.04,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read one,-14.021398544311523,7724.8828125,-85781.5234375,93506.40625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.04,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read and,-14.197179794311523,8058.0,-85874.84375,93932.84375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.04,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read thanks,-14.277735710144045,7783.5,-85841.5,93625.0
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.04,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read so,-14.388586044311523,8621.09375,-85888.3984375,94509.4921875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.04,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read this,-14.418360710144045,8157.9375,-85845.3125,94003.25
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.04,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read for,-14.555079460144045,8437.9765625,-85889.9140625,94327.890625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.04,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read it,-14.695704460144045,7747.390625,-85957.46875,93704.859375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.04,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read i,-14.730860710144045,7810.2578125,-85898.421875,93708.6796875
