audio_path,reference,wer,wspr_hyp,wspr_prob,gtts_ll,gtts_prior,gtts_delta
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.0,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,-8.535896301269531,8128.765625,-85885.359375,94014.125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,0.05,as is shown by the report of the commissioners to enquire into the state of the municipal corporations in 1835,-8.233558654785156,7258.6953125,-77022.59375,84281.2890625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,0.0,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,-8.664323806762695,7321.40625,-76967.5703125,84288.9765625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.0833333333333333,even the kaslung type when enlarged shows great shortcomings in this respect,-9.781353950500488,6494.609375,-56815.89453125,63310.50390625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.0833333333333333,even the caslung type when enlarged shows great shortcomings in this respect,-9.903446197509766,6045.125,-56825.125,62870.25
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.0833333333333333,even the kazlung type when enlarged shows great shortcomings in this respect,-10.056514739990234,6086.58984375,-56796.40625,62882.99609375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.1666666666666666,even the caslon type when enlarged shows great short comings in this respect,-10.471606254577637,6609.8828125,-56773.59375,63383.4765625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,all the committee could do in this respect was to throw the responsibility on others,0.0,all the committee could do in this respect was to throw the responsibility on others,-7.608903884887695,7126.94140625,-53427.4921875,60554.43359375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ007-0154.wav,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,0.0,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,-7.100958347320557,11829.7109375,-96222.2109375,108051.921875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ007-0154.wav,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,0.0384615384615384,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontam,-7.963386058807373,10967.6953125,-96312.34375,107280.0390625
