audio_path,reference,wer,wspr_hyp,wspr_prob
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.0,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,-8.535896301269531
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,0.05,as is shown by the report of the commissioners to enquire into the state of the municipal corporations in 1835,-8.233558654785156
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,0.0,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,-8.664323806762695
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.08333333333333333,even the kaslung type when enlarged shows great shortcomings in this respect,-9.781353950500488
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.08333333333333333,even the caslung type when enlarged shows great shortcomings in this respect,-9.903446197509766
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.08333333333333333,even the kazlung type when enlarged shows great shortcomings in this respect,-10.056514739990234
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.16666666666666666,even the caslon type when enlarged shows great short comings in this respect,-10.471606254577637
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,all the committee could do in this respect was to throw the responsibility on others,0.0,all the committee could do in this respect was to throw the responsibility on others,-7.608903884887695
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ007-0154.wav,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,0.0,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,-7.100958347320557
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ007-0154.wav,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,0.038461538461538464,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontam,-7.963386058807373
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ007-0154.wav,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,0.038461538461538464,these pungent and well grounded structures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,-10.619235038757324
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ007-0154.wav,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,0.038461538461538464,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated .,-11.889298439025879
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ018-0098.wav,and recognized as one of the frequenters of the bogus law stationers his arrest led to that of others,0.0,and recognized as one of the frequenters of the bogus law stationers his arrest led to that of others,-13.468908309936523
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,0.05,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence,-6.257309436798096
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,0.0,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,-8.931727409362793
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0038.wav,the 1st physician to see the president at parkland hospital was doctor charles j carrico a resident in general surgery,0.0,the 1st physician to see the president at parkland hospital was doctor charles j carrico a resident in general surgery,-16.455265045166016
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ048-0194.wav,during the morning of november 22 prior to the motorcade,0.0,during the morning of november 22 prior to the motorcade,-5.512726306915283
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ049-0026.wav,on occasion the secret service has been permitted to have an agent riding in the passenger compartment with the president,0.0,on occasion the secret service has been permitted to have an agent riding in the passenger compartment with the president,-13.605453491210938
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,although at mister buxton is visit a new jail was in process of erection the 1st step towards reform since howard is visitation in 1774,0.0,although at mister buxton is visit a new jail was in process of erection the 1st step towards reform since howard is visitation in 1774,-6.076809406280518
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,although at mister buxton is visit a new jail was in process of erection the 1st step towards reform since howard is visitation in 1774,0.04,although at mister buxton is visit a new jail was in process of erection the 1st step towards reforms since howard is visitation in 1774,-7.998326778411865
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ008-0278.wav,or theirs might be one of many and it might be considered necessary to make an example,0.11764705882352941,or there is might be one of many and it might be considered necessary to make an example,-7.5807905197143555
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ008-0278.wav,or theirs might be one of many and it might be considered necessary to make an example,0.0,or theirs might be one of many and it might be considered necessary to make an example,-8.005328178405762
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ043-0002.wav,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,0.0,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,-10.552200317382812
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ043-0002.wav,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,0.1,the warren commission report by the president is commission on the assassination of president kennedy chapter vii lee harvey,-12.405986785888672
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ043-0002.wav,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,0.2,the warren commission report by the president is commission on the assassination of president kennedy chapter vii l,-12.480437278747559
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ043-0002.wav,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,0.15,the warren commission report by the president is commission on the assassination of president kennedy chapter vii lee,-12.54315185546875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ043-0002.wav,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,0.2,the warren commission report by the president is commission on the assassination of president kennedy chapter vii,-12.65394401550293
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ043-0002.wav,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,0.15,the warren commission report by the president is commission on the assassination of president kennedy chapter vii lee harve,-13.103322982788086
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ043-0002.wav,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,0.2,the warren commission report by the president is commission on the assassination of president kennedy chapter vii le,-13.248015403747559
