audio_path,reference,wer,wspr_hyp,wspr_prob
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.0,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,-9.785205841064453
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,0.0,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,-8.209773063659668
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,0.05,as is shown by the report of the commissioners to enquire into the state of the municipal corporations in 1835,-8.483234405517578
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.08333333333333333,even the caslung type when enlarged shows great shortcomings in this respect,-8.019025802612305
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.16666666666666666,even the castle en type when enlarged shows great shortcomings in this respect,-10.596060752868652
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.25,even the caslung type when in large shows great shortcomings in this respect,-10.597715377807617
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.16666666666666666,even the cas lung type when enlarged shows great shortcomings in this respect,-10.810335159301758
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.16666666666666666,even the castle in type when enlarged shows great shortcomings in this respect,-10.945075988769531
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.0,even the caslon type when enlarged shows great shortcomings in this respect,-11.236740112304688
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,all the committee could do in this respect was to throw the responsibility on others,0.0,all the committee could do in this respect was to throw the responsibility on others,-6.6141204833984375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ007-0154.wav,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,0.0,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,-9.022416114807129
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ018-0098.wav,and recognized as one of the frequenters of the bogus law stationers his arrest led to that of others,0.0,and recognized as one of the frequenters of the bogus law stationers his arrest led to that of others,-11.631082534790039
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,0.05,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence,-6.164278507232666
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,0.05,ozworld was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,-9.400052070617676
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,0.0,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,-10.776411056518555
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,0.1,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet,-13.136934280395508
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0038.wav,the 1st physician to see the president at parkland hospital was doctor charles j carrico a resident in general surgery,0.0,the 1st physician to see the president at parkland hospital was doctor charles j carrico a resident in general surgery,-7.948945045471191
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0038.wav,the 1st physician to see the president at parkland hospital was doctor charles j carrico a resident in general surgery,0.05,the 1st physician to see the president at parkland hospital was doctor charles j carico a resident in general surgery,-8.198457717895508
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0038.wav,the 1st physician to see the president at parkland hospital was doctor charles j carrico a resident in general surgery,0.05,the 1st physician to see the president at parkland hospital was doctor charles j carroco a resident in general surgery,-8.358881950378418
